scientifique 	scientific	 scientist
embellir 	embellish
discrimination raciale 	racial discrimination
rhododendron 	rhododendron
masturbatoire 	masturbatory
placebo 	placebo
détail 	detail
gibbon 	gibbon
valine 	valine
ultimatum 	ultimatum
préposition 	preposition
cosmologie 	cosmology
polis 	polis
provision 	provision
ressemblance 	resemblance
sécession 	secession
barque 	barque	 bark
aura 	aura
-graphe 	-graph
musicologie 	musicology
martial 	Martial
contente 	content	 happy
métapsychologie 	metapsychology
argent 	silver	 money	 argent
exhumer 	exhume
contagion 	contagion
talapoin 	talapoin
fontanelle 	fontanelle	 soft spot
consanguin 	consanguineous
mongolie 	Mongolia
apostolique 	apostolic
archæoptéryx 	archæopteryx
são paulo 	São Paulo
thym 	thyme
promotionnel 	promotional
transgenre 	transgender
zirconium 	zirconium
science 	knowledge	 science
apadravya 	apadravya
sectionner 	section
parasitologie 	parasitology
supposer 	suppose	 assume
corset 	corset
lobbyiste 	lobbyist
aspirine 	aspirin
justifié 	justified
sonate 	sonata
récitation 	recitation
cabinet 	toilet	 cabinet
paraphrastique 	paraphrastic
satyriasis 	satyriasis
sanskrit 	Sanskrit
guillotine 	guillotine
campanologie 	campanology
uri 	Uri
million 	million
tamarin 	tamarind
croissant 	crescent	 croissant
promoteur 	promoter
strasbourg 	Strasbourg
sultan 	sultan
hallucination 	hallucination
apollon 	Apollo
kurdistan 	Kurdistan
module 	module	 modulus
chrysanthème 	chrysanthemum
jakarta 	Jakarta
parachutiste 	parachutist	 paratrooper
réductase 	reductase
intermodalité 	intermodal
compiler 	crunch	 compile
traductologie 	traductology
phone 	phon
mamba 	mamba
orgiastique 	orgiastic
paramilitaire 	paramilitary
maman 	mama	 ma	 mammy	 mummy	 mum
timişoara 	Timişoara
fertiliser 	impregnate	 fertilize
mambo 	mambo
amphore 	amphora
reconnecter 	reconnect
lviv 	Lviv
intransigeant 	intransigent
mythe 	myth
palpable 	palpable
préparation 	preparation
thulium 	thulium
asymptomatique 	asymptomatic
bonze 	bonze
paparazzi 	paparazzi
authentification 	authentication
anisotropie 	anisotropy
principal 	prime	 principal	 primary	 main
lubrification 	lubrication
parcelle 	parcel
syntacticienne 	syntactician
psychiatriste 	psychiatrist
féminisme 	feminism
-iste 	-ist	 -ista
acclimatation 	acclimatization
bronzé 	bronze	 tan
radon 	radon
imperceptiblement 	imperceptibly
limbo 	limbo
modernisation 	modernization
attendante 	attendant
universalité 	universality
thaumaturgie 	thaumaturgy
acrocyanose 	acrocyanosis
primitivisme 	primitivism
swaption 	swaption
dodécaphoniste 	dodecaphonist
intervalle 	interval	 interim
ramadan 	Ramadan
postulat 	postulate
future 	future
quenelle 	quenelle
magnesien 	Magnesian
portemanteau 	portmanteau	 coat hanger
stress 	stress	 disquietude
consister 	consist
peloton 	peloton	 platoon
ivalo 	Ivalo
khinalug 	Khinalug
fretté 	fretty
précession 	precession
surpris 	surprised
endive 	endive
gambie 	Gambia
vandale 	vandal
matthias 	Matthias
corinthe 	Corinth
apostasie 	apostasy
provence 	Provence
ticket 	ticket
thermosphère 	thermosphere
amplitude 	amplitude
condenser 	condense
massage 	massage
ephraïm 	Ephraim
excipient 	excipient
autisme 	autism
diplomate 	diplomat	 negotiator
prostitué 	gigolo	 prostitute
hyper- 	hyper-
crématorium 	crematorium
superfétation 	superfetation
phonographie 	phonography
participation 	participation
phrase 	phrase	 sentence
mandater 	mandate
flag 	flag
tampere 	Tampere
finlande 	Finland
diptote 	diptote
zunyite 	zunyite
thallium 	thallium
larynx 	larynx
leipzig 	Leipzig
mufti 	mufti
voyeur 	peeping tom	 voyeur
infinitésimal 	infinitesimal
sécularisme 	secularism
decolleté 	decollete
philanthropique 	philanthropic
baseball 	baseball
intuitif 	intuitive
possibilités 	possibilities
causalité 	causality
canada 	Canada	 improvised explosive device	 IED
corrélation 	correlation
capitalisme 	capitalism
assumer 	assume
bioindustrie 	bioindustry
date 	date
pétrel 	petrel
préemption 	preemption
judiciaire 	judicial
zloty 	zloty
intersection 	intersection	 overlap
historien 	historian
freesia 	freesia
métastable 	metastable
urgence 	emergency	 urgency
primogéniture 	primogeniture
respect 	respect
yo-yo 	yo-yo
mirage 	Fata Morgana	 mirage
pédophile 	paedophile	 pedophile
technophobie 	technophobia
alternative 	alternative
sollicitation 	solicitation
aurochs 	aurochs
intelligentsia 	intelligentsia
kilogramme 	kilogram
quartette 	quartet
tcheboksary 	Cheboksary
scorpion 	scorpion
respectivement 	respectively
samarie 	Samaria
cigare 	cigar
contradictoire 	contradictory
aden 	Aden
lama 	lama	 llama
atonal 	atonal
illusion 	hallucination	 illusion	 delusion
correspondance 	connection	 correspondence
balcon 	gallery	 balcony
scalpel 	scalpel
altitude 	altitude
scandaleux 	scandalous
vanadium 	vanadium
tic 	tic
soluble 	solvable	 soluble
tartan 	tartan
lawrencium 	lawrencium
coca-cola 	Coca-Cola
sémioticien 	semiotician
kashgar 	Kashgar
-isme 	-ism
record 	record
fansub 	fansub
budget 	budget
glossonyme 	glossonym
basophile 	basophil
polygone 	polygon
libidinal 	libidinal
hamster 	hamster
rigide 	rigid	 stiff
sprat 	sprat
détonation 	detonation	 bang
additionnel 	additional
siluridé 	silurid
opale 	opal
hmong 	Hmong
gerbille 	gerbil
borborygme 	borborygmus	 growl	 borborigmus
quezón city 	Quezon City
conventionnel 	conventional
subjective 	subjective
éjaculation 	ejaculation	 ejaculate
origami 	origami
cunnilingus 	cunnilingus
incorrigible 	incorrigible
jovialité 	joviality
cronos 	Cronus
sesquicentenaire 	sesquicentennial
readme 	readme
iochkar-ola 	Yoshkar-Ola
cariatyde 	caryatid
factorielle 	factorial
bronze 	bronze
blonde 	blonde	 girlfriend	 blond
écotourisme 	ecotourism
basque 	basque	 Basque
pigeonne 	pigeon
horoscope 	horoscope
génome 	genome
zagreb 	Zagreb
anaphore 	anaphora
lithosphère 	lithosphere
kazan 	Kazan
sigillographie 	sigillography
buffalo 	Buffalo
moral 	moral
horny 	horny
philologie 	philology
ricochet 	ricochet
ricocher 	ricochet	 skim
lucidité 	lucidity
expertise 	expertise
fiancé 	engaged	 fiancé	 bridegroom	 groom
anion 	anion
exception 	exception
cyclohexane 	cyclohexane
soliloque 	soliloquy
motion 	question	 motion
californium 	californium
station 	station
quadrant 	quadrant
massacre 	massacre
jonquille 	daffodil	 jonquil
caroline 	Caroline
pluton 	Pluto
immigration 	immigration
élucidation 	elucidation
glycol 	glycol
astérisme 	asterism
philanthrope 	philanthropist
picte 	Pict
sodium 	sodium
gray 	gray
amusement 	amusement	 pastime
intermittent 	intermittent
propagule 	propagule
riyad 	Riyadh
translittération 	transliteration
horde 	drove	 horde
village 	village
gavage 	gavage
cartouche 	cartouche
trivial 	trivial	 trite
brandy 	brandy
bongo 	bongo
pansexualité 	pansexuality
djinn 	genie	 djinn
destroyer 	destroyer
cyan 	cyan
irréversible 	irreversible
aventure 	adventure
vocalisation 	vocalization
bangalore 	Bangalore
tofu 	tofu
radiodiagnostic 	radiodiagnostics
philosophe 	philosopher
ojibwé 	Ojibwe
penalty 	penalty
conférence 	lecture	 conference
unanimité 	unanimity
phagocytose 	phagocytosis
totalitarisme 	totalitarianism
andorre 	Andorra
eruption 	eruption
disciple 	disciple
vormsi 	Vormsi
brigand 	brigand
poker 	poker
san josé 	San José
chahada 	shahada
décalcomanie 	decalcomania
salerne 	Salerno
alternateur 	alternator
virologie 	virology
apophonie 	apophony
gorille 	gorilla
transposée 	transpose
taipei 	Taipei
centrisme 	centrism
trapani 	Trapani
signe 	sign	 mark
autobiographie 	autobiography
quito 	Quito
sacre bleu 	sacré bleu
kayak 	kayak
auregnais 	Auregnais
tripoli 	Tripoli
potenza 	Potenza
apache 	Apache
ophiuchus 	Ophiuchus
port moresby 	Port Moresby
typographie 	typography
banshee 	banshee
limpidité 	limpidity
paralysie 	paralysis	 standstill
boxing day 	Boxing Day
frisbee 	frisbee
maori 	Maori
clarinettiste 	clarinetist
californien 	Californian
cubisme 	cubism
friction 	friction
awadhi 	Awadhi
banshie 	banshee
migraine 	migraine
performance 	performance
omniprésence 	omnipresence
fermium 	fermium
réification 	reification
rhino- 	rhino-
animiste 	animist
managérial 	managerial
polytonique 	polytonic
shogunat 	shogunate
neuchâtel 	Neuchâtel
priorité 	priority	 right of way
nicotine 	nicotine
malévolent 	malevolent
lapidation 	lapidation
hollande 	Netherlands	 Holland
postposition 	postposition
démolition 	demolition
knickerbockers 	knickers	 knickerbockers
tectiforme 	tectiform
apparente 	apparent
émergence 	emergence
lime 	file	 lime
inventorier 	inventorize
homosexualité 	homosexuality
synode 	synod
bougainvillier 	bougainvillea
labyrinthe 	labyrinth	 rabbit warren
amide 	amide
cross-country 	cross country
istanbul 	Istanbul
gaffe 	gaffe	 blunder
code source 	source code
netsuke 	netsuke
guqin 	guqin
coup d'état 	coup d'état
nominatif 	nominative	 nominative case
rwanda 	Rwanda
adoptée 	adoptee
en personne 	in the flesh	 in person
despote 	despot
optionnel 	optional
quadrangle 	quadrangle
vichy 	Vichy
message subliminal 	subliminal message
bryophyte 	bryophyte
émirati 	emirati
négligé 	slapdash	 negligée	 négligée
lgbt 	LGBT
prognathe 	prognathous
négligente 	negligent
liaison 	bond	 liaison
comores 	Comoros
rhodes 	Rhodes
contribution 	contribution
abigaël 	Abigail
luthier 	luthier
questionner 	question	 ask
victoria 	Victoria
inoculation 	inoculation
aster 	aster
hippopotame 	hippopotamus
télescope 	telescope
optimum 	optimum
acacia 	acacia
appendre 	append
stigmate 	stigma
ethnographe 	ethnographer
abigaïl 	Abigail
thrace 	Thrace	 Thracian
symbiose 	symbiosis
colostrum 	colostrum
machiniste 	engineer	 machinist
vienne 	Vienna
angeline 	Angelina
impossible 	impossible
anthropologue 	anthropologist
anthropocentrisme 	anthropocentrism
virtuose 	virtuoso
ganglion 	ganglion
diamine 	diamine
agent 	agent
linux 	Linux
ventriloque 	ventriloquist
uranium 	uranium
christadelphes 	Christadelphian
polonium 	polonium
statuesque 	statuesque
alpha 	alpha
tetris 	Tetris
équivalence 	equivalence
inhabitable 	uninhabitable
gadolinium 	gadolinium
dimension 	dimension	 n-dimensional	 four-dimensional
brancher 	branch
concert 	concert
abstrait 	abstract
phaistos 	Phaistos
sexy 	sexy	 phat	 hot
amine 	aminal	 amine
sculpture 	sculpture
érudition 	erudition	 scholarship
commun 	common
grodno 	Grodno
mammographie 	mammography
apparent 	apparent
chapelle 	chapel
état de rio de janeiro 	Rio de Janeiro
pyrophobie 	pyrophobia
scout 	scout
terrier 	burrow	 terrier	 den
épilogue 	epilogue
bombe 	bomb
accommodation 	accommodation
testament 	testament
cause 	cause	 reason	 case
insuline 	insulin
nougat 	nougat
canberra 	Canberra
vasectomie 	vasectomy
splendide 	splendid
colley 	collie
minime 	minim
concept 	concept
colorer 	color
bambou 	bamboo
supporteur 	supporter
abstract 	abstract
ablette 	bleak	 ablet
novare 	Novara
benjamin 	Benjamin
optimal 	optimum	 optimal
france 	France	 improvised explosive device	 IED
velours 	velvet	 velour
anthropologie 	anthropology
taikonaute 	taikonaut
isaac 	Isaac
matador 	matador
temporel 	temporal
offensive 	offensive
complexe 	complex	 tricky
utilitarisme 	utilitarianism
soccer 	soccer
xylophone 	xylophone
absence 	absence
ensemble 	ensemble	 set	 whole	 lot	 together
kœnigsberg 	Königsberg
variable 	Boolean	 variable
abrupt 	steep	 abrupt
chiite 	Shi'a	 Shiite
antihypertensif 	antihypertensive
zone pellucide 	zona pellucida
accra 	Accra
coalescer 	coalesce
juxtaposer 	juxtapose
humble 	humble
candela 	candela
chardonnay 	Chardonnay
interdisciplinaire 	interdisciplinary
bioinformatique 	bioinformatics
spatule 	spatula	 paddle
plantigrade 	plantigrade
service 	duty	 service
tallinn 	Tallinn
difficulté 	difficulty
activiste 	activist
incomplet 	incomplete
samosate 	Samosata
lézard 	lizard
probabiliste 	probabilistic
démagogue 	demagogue
subsumer 	subsume
torturer 	torture
colonial 	colonial
décibel 	decibel
turquoise 	turquoise
pluviôse 	Pluviôse
abjurer 	abjure
baklava 	baklava
glucocorticoïde 	glucocorticoid
truisme 	truism	 tautology
amarante 	amaranth
açores 	Azores
cirrhose 	cirrhosis
adhan 	adhan
francophobie 	Francophobia
anglophone 	anglophone
aarau 	Aarau
gorno-altaïsk 	Gorno-Altaysk
explorer 	explore	 survey
blacklister 	blacklist
transformer 	transform	 change	 transformer
euthanasie 	euthanasia
venezuela 	Venezuela
révision 	revision
liqueur 	liqueur
autofellation 	autofellatio
spasme 	spasm
sainfoin 	sainfoin
ruminant 	ruminant
albany 	Albany
belliciste 	bellicist	 warmonger
copenhague 	Copenhagen
triple 	threefold	 triple
coalition 	coalition
guanaco 	guanaco
branchial 	branchial
radiologie 	radiology
viking 	Viking
zanzibar 	Zanzibar
parthie 	Parthia
durban 	Durban
comparer 	compare	 liken
bit 	bit
immigrante 	immigrant
liquide 	liquid
différence 	difference
pharmaceutique 	pharmaceutical
température 	temperature
insecticide 	insecticide
gazelle 	gazelle
argane 	argan
instinctive 	instinctive
flashcard 	flashcard
tombak 	tombak
gauche 	gauche	 left	 skew
ordinal 	ordinal
tombac 	tombac
boa 	boa
terroriste 	terrorist
caricaturesque 	caricaturesque
visible 	apparent	 visible
crabe 	crab
fraterniser 	fraternize	 brother
orgasme 	orgasm
sauce béchamel 	béchamel sauce
constante 	constant
gold coast 	Gold Coast
vibrato 	vibrato
orissa 	Orissa
installer 	install	 set up
webmaster 	webmaster
balle 	chaff	 ball	 ammunition	 bullet
salami 	salami
ogonek 	ogonek
salacité 	salacity
siam 	Siam
benzoyle 	benzoyl
messe 	mass	 Mass	 mess
tonne 	tonne	 ton	 metric ton
propositionnel 	propositional
forge 	forge
motiver 	motivate	 motive
floride 	Florida
allah 	Allah
snowboardeuse 	snowboarder
patience 	patience
tenure 	tenure
landgraviat 	landgraviate
myrrhe 	myrrh
aaron 	Aaron
catécholamine 	catecholamine
hong kong 	Hong Kong
dysthymie 	dysthymia
promo 	promo
bolet 	bolete
tomate 	tomato
coenure 	coenure
téléportation 	teleportation
complice 	complicit	 accomplice	 abettor
amphiprostyle 	amphiprostyle
sovkhoze 	sovkhoz
amalgame 	amalgam
bar 	bar	 pub
tropical 	tropical
sondrio 	Sondrio
cryolite 	cryolite
effendi 	effendi
denier 	denier
centaure 	Centaurus	 centaur
blanchir 	blanch	 bleach	 launder	 whiten
pantographe 	pantograph
ingrédient 	ingredient
force 	strength	 force
homicide 	homicide
ammoniac 	ammonical	 ammonia	 ammonic
jackson 	Jackson
exact 	accurate	 exact	 proper
absinthe 	wormwood	 absinthe
boer 	Boer
prose 	prose
enchanter 	enchant	 delight
bohrium 	bohrium
ferromagnétisme 	ferromagnetism
chicago 	Chicago
salade 	salad	 lettuce	 medley
psychophysique 	psychophysics	 psychophysical
embarrasser 	embarrass
vacuum 	vacuum
contracter 	contract
marimba 	marimba
bilocation 	bilocation
terrorisme 	terrorism
jade 	Jade
siemens 	siemens
substitut 	replacement	 substitute
cardinal 	cardinal
temple 	temple
colonel 	colonel
catafalque 	catafalque	 bier
trilingue 	trilingual
didon 	Dido
chinois 	Chinese	 chinois
pogrom 	pogrom
immortel 	immortal
businessman 	businessman
golf 	golf
complet 	full	 complete	 sound	 comprehensive	 suit
site 	site	 web site
ruanda 	Rwanda
bretonne 	Breton
thorn 	thorn
despotisme 	despotism
plante 	plant	 sole
modeler 	model
diffraction de neutrons 	neutron diffraction
deneb 	Deneb
urine 	urine
gong 	gong
occasionnel 	occasional
annaliste 	annalist
amman 	Amman
bonn 	Bonn
dextrose 	dextrose
morphine 	morphine
optimate 	optimate
déficience 	deficiency
résidentiel 	residential
litharge 	litharge
caldera 	caldera
cardiovasculaire 	cardiovascular
transposable 	transposable
mercuriel 	mercurial
bruges 	Bruges
méthionine 	methionine
rhubarbe 	rhubarb
plutonium 	plutonium
histologie 	histology
shinto 	Shinto
lotus 	lotus
pédophilie 	pedophilia
jason 	Jason
hypercorrection 	hypercorrection
khinalug 	Khinalug
espadrille 	espadrille
louise 	Louise
copule 	copula
samothracien 	Samothracian
sororel 	sororal
serpent 	serpent	 snake
immortalité 	immortality
orbitale 	orbital
silo 	silo
participe 	participle
breakdance 	breakdancing
kentucky 	Kentucky
existentiel 	existential
exoplanète 	exoplanet
takbîr 	takbir
extravagant 	extravagant
condensat de bose-einstein 	Bose-Einstein condensate
java 	Java
mascara 	mascara
pupille 	ward	 pupil
stratum 	stratum
vandale 	Vandal
nomenklatura 	nomenklatura
gadget 	gadget
bible 	Bible
lycanthrope 	lycanthrope	 werewolf
corvette 	corvette
europhilie 	europhilia
autorégulation 	autoregulation
pickles 	pickle
factuel 	factual
admirer 	admire
canton 	precinct	 Solothurn	 Geneva	 Neuchâtel	 canton
céphalothorax 	cephalothorax
quadruplé 	quadruplet
prince charmant 	Prince Charming
louisiane 	Louisiana
momo 	momo
thuban 	Thuban
camargue 	Camargue
manipur 	Manipur
hydrophobe 	hydrophobic
violon 	violin
pyrite 	pyrite
air 	air
zinc 	zinc	 bar
mole 	mole
escapisme 	escapism
achgabat 	Ashgabat
libération 	liberation
marcher 	work	 march	 tiptoe	 walk	 go
ventôse 	Ventôse
sable 	sand	 sable
soliton 	soliton
aha 	aha
hypotension 	hypotension
taverne 	beer parlour	 inn	 tavern
docile 	docile
chocolaté 	chocolate
pneumologie 	pneumology
fossile 	fossil
discothèque 	discotheque
alabama 	Alabama
adolescence 	adolescence
lynx 	Lynx
intensité 	intensity	 candlepower
dracon 	Draco
canadianisme 	Canadianism
antoinette 	Antoinette
navajo 	Navajo
amphétamine 	amphetamine
grammatical 	grammatical
biblio- 	biblio-
sensation 	sensation	 feeling
luxuriante 	luxuriant
rénovation 	renovation
togo 	Togo
lyon 	Lyons
kiribatien 	Kiribatian
récapitulation 	summary	 recapitulation
glassharmonica 	glass harmonica
racial 	racial	 race hatred
vulnérable 	vulnerable
rimini 	Rimini
acadien 	Acadian
bi-curieux 	bi-curious
structuralisme 	structuralism
talmud 	Talmud
abominable 	abominable
ulysse 	Ulysses
prostitution 	prostitution
télécommunication 	telecommunications
anthropomorphisme 	anthropomorphism
syndicaliste 	syndicalist
djiboutienne 	Djiboutian
allogamie 	allogamy
scorpion 	Scorpius	 Scorpio
cryptographie 	cryptography
lesion 	lesion
baobab 	baobab
biomédical 	biomedical
volcanisme 	volcanism
patiente 	patient
sydney 	Sydney
haskell 	Haskell
wallonne 	Walloon
révélation 	Revelation
wallonie 	Wallonia
syndicalisme 	syndicalism
omni- 	omni-
erbium 	erbium
cosmonaute 	spaceman	 cosmonaut
condyle 	condyle
cardiff 	Cardiff
causer 	cause
embrocation 	embrocation
franglais 	Franglais
handball 	handball
arabesque 	arabesque
sanatorium 	sanatorium
germanium 	germanium
violet 	purple	 violet
étable 	stable
kazakhstan 	Kazakhstan
musculature 	musculature
basilicate 	Basilicata
lingerie 	lingerie
gaule 	Gaul
upsilon 	upsilon
mitre 	mitre
anti-inflammatoire 	anti-inflammatory
automatisation 	automation
masculin 	masculine	 male
lambert 	Lambert
trimaran 	trimaran
intouchable 	untouchable
paragraphe 	paragraph	 subsection
synchrone 	synchronous
vocal 	vocal
montserrat 	Montserrat	 Montserratian
libidinale 	libidinal
champignon 	mushroom	 champignon	 toadstool
tryptophane 	tryptophan
string 	thong	 G-string
déterminant 	determinant
seconde 	second	 jiffy
banane 	banana	 whirlybird	 chopper	 bum bag	 fanny pack
russie 	Russia
bouillon 	bouillon	 broth
régiment 	infantry	 regiment
trombone 	paper clip	 trombone
dessert 	dessert
pandore 	Pandora
retardé 	retard
décision 	decision
hybride 	hybrid
continu 	continuous	 unbroken
rutile 	rutile
forum 	forum
prince 	prince
confession 	confession
non-prolifération 	non-proliferation
infaillible 	infallible
déforestation 	deforestation
thanksgiving 	Thanksgiving
fiord 	fiord	 fjord
are 	are
arc 	arc	 circular arc
retard 	retard	 delay
amphibien 	amphibian
antioxydant 	antioxidant
anti-abolitionnisme 	anti-abolitionism
exclusion 	exclusion
art 	art
héliport 	heliport	 helipad
guam 	Guam
vinaigrette 	vinaigrette
jaguar 	jaguar
mode 	mode
navajo 	Navajo
silage 	silage
somnambulisme 	somnambulism
samogitien 	Samogitian
admissible 	admissible
contigu 	contiguous
johannesburg 	Johannesburg
ressource 	resource
point 	point	 element	 singularity	 full stop	 fulcrum	 speck	 stitch	 period	 about to	 decimal point	 dot
nous 	nous	 us	 we
pyjama 	pyjamas
fructose 	fructose
scandium 	scandium
phalarope 	phalarope
célébration 	celebration
gluten 	gluten
mortalité 	mortality
salekhard 	Salekhard
kremlin 	Kremlin
nuoro 	Nuoro
chlorite 	chlorite
collaborateur 	collaborator
tombe 	tomb	 grave
tableau 	table	 board	 array
personne 	epicene	 nobody	 person	 none	 no one
nauruan 	Nauruan
thessalonique 	Thessaloniki
médecine 	medicine
archimandrite 	archimandrite
transcrire 	transcribe
hépatocyte 	hepatocyte
favori 	bookmark	 favorite	 favourite
ingratitude 	ingratitude
monopoliser 	monopolize
concavité 	concavity
olive 	olive
tokelauan 	Tokelauan
grimace 	grimace
directive 	guideline	 directive
cingulotomie 	cingulotomy
texture 	texture
ménopause 	menopause
guyana 	Guyana
socrate 	Socrates
kiribati 	Kiribati
nassau 	Nassau
esturgeon 	sturgeon
hydraulique 	hydraulic
chador 	chador
luminol 	luminol
hermès 	Hermes
hypertrophie 	hypertrophy
subjectif 	subjective
hypallage 	hypallage
somnologie 	somnology
sémanticien 	semiotician	 semantician
lucifer 	Lucifer
cellophane 	cellophane
métamorphose 	metamorphosis
karaoke 	karaoke
fanfare 	fanfare
frontière 	frontier	 barrier	 border	 bound	 boundary
amylase 	amylase
justice 	justice
pontifical 	pontifical
embarrassant 	embarrassing
pontificat 	pontificate
perm 	Perm
hafnium 	hafnium
taliban 	Taliban
population 	population
proroguer 	prorogue
seychelles 	Seychelles
condescendant 	condescending
plasticienne 	plastician
vétiver 	vetiver
fugitive 	fugitive
uruguayenne 	Uruguayan
distance 	distance	 range
retirer 	recant	 withdraw	 call it a day	 retire
illyrien 	Illyrian
note 	bill	 tab	 mark	 note
gyno- 	gyno-
dolmen 	dolmen
catatonie 	catatonia
uxoricide 	uxoricide
striptease 	striptease
claudie 	Claudia
oriental 	oriental	 east
frivolité 	frivolity
novossibirsk 	Novosibirsk
sicile 	Sicily
rare 	rare	 scarce
argentin 	Argentinian
supernova 	supernova
perspectif 	perspective
humiliation 	humiliation
montego bay 	Montego Bay
guider 	guide	 steering	 lead
caricature 	cartoon	 caricature
ravenne 	Ravenna
alpaga 	alpaca
technique 	technique
excitation 	excitement	 excitation	 heat
cnossos 	Knossos
muffin 	muffin
chaos 	chaos	 pandemonium
protoplasme 	protoplasm
observer 	observe	 watch
lupin 	lupine	 wolfish
intransigeance 	intransigence
substance 	substance
détective 	bloodhound	 detective
abs 	ABS
abdominal 	abdominal
singulatif 	singulative
masculinité 	masculinity
vancouver 	Vancouver
adopter 	adopt	 assume
code morse 	Morse code
excommunication 	excommunication
ranch 	ranch
socle 	socle	 stand	 dock
consonante 	consonant
bingo 	bingo
velcro 	Velcro
consul 	consul
mobilité 	mobility
annuler 	repeal	 nullify	 cancel	 annul
granite 	granite
centaure 	centaur
liquéfaction 	liquefaction
marche 	march	 walk
concave 	concave
misanthropique 	misanthropic
chadda 	shadda
surinam 	Suriname
solidarité 	solidarity	 equity
accomplissement 	accomplishment
restaurateur 	restaurateur
gnosticisme 	Gnosticism
litre 	litre
thrombose 	thrombosis
iwo jima 	Iwo Jima
surface 	surface
portsmouth 	Portsmouth
accepter 	accept
tetrarchie 	tetrarchy
tinamou 	tinamou
diffus 	diffuse
avarice 	avarice
calviniste 	Calvinist
joseph 	Joseph
kumquat 	kumquat
novi sad 	Novi Sad
perth 	Perth
pistache 	pistachio
jungle 	jungle
guidon 	guidon	 handlebar
dominicain 	Dominican
attribut 	attribute	 adjunct
polyuréthane 	polyurethane
synonyme 	synonym
mine 	mine
paraphrase 	paraphrase
reste 	rest
quaker 	Quaker
saponine 	saponin
sindhi 	Sindhi
glandulaire 	glandular
amt 	AMT
obstacle 	obstacle
courage 	courage	 bravery
moderne 	modern
zwitterion 	zwitterion
luxuriant 	luxuriant
myanmar 	Myanmar
contradiction 	contradiction in terms	 contradiction
fractale 	fractal
strabisme 	strabismus
unbinilium 	unbinilium
psychose 	psychosis
enrichir 	enrich
éducation 	education
pistoia 	Pistoia
paraphraser 	paraphrase
verlan 	verlan
inflorescence 	inflorescence
dyslexie 	dyslexia
costume 	costume
total 	total	 full	 utter
succulent 	succulent	 scrumptious
recommandation 	recommendation
fluorophore 	fluorophore
solstice 	solstice
démystification 	demystification
raclette 	raclette
glucoside 	glucoside
cinéphile 	cinephile
comparatif 	comparative
discrimination 	discrimination
parent 	family	 relation	 parent	 relative
-blaste 	-blast
multiethnique 	multiethnic
antonyme 	antonym
orthodontiste 	orthodontist
instrumental 	instrumental case	 instrumental
tulipe 	tulip
computer 	compute
atayal 	Atayal
isabelle 	Isabel
aglycone 	aglycone
divorcer 	divorce
terminateur 	terminator
dyle 	Dyle
achromatisme 	achromatism
comino 	Comino
ukraine 	Ukraine
totem 	totem
draconien 	draconian	 drastic
naissaar 	Naissaar
pause 	pause	 break
impudent 	impudent	 brazen-faced
tribulation 	tribulation
acclamation 	acclamation
grimoire 	grimoire
récent 	newer	 recent
trieste 	Trieste
hydrosphère 	hydrosphere
saturne 	Saturn
vélociraptor 	velociraptor
compréhension 	comprehension
nazi 	Nazi	 fascist
vérification 	verification	 confirmation
adaptabilité 	adaptability
dollarisation 	dollarization
teramo 	Teramo
objection 	objection
happening 	happening
nudité 	nakedness	 nudity
proposer 	propose	 suggest
mutable 	mutable
déviant 	pervert	 deviant
congo 	Congo
développement 	development
sororal 	sororal
kharkiv 	Kharkiv
sierra leone 	Sierra Leone
constructif 	constructive
cassette 	cassette
interpréter 	interpret	 render
abduction 	abduction
bactrie 	Bactria
catapulte 	catapult
déterminer 	define	 determine
globetrotteur 	globetrotter
modulation d'amplitude 	amplitude modulation
sociologie 	sociology
aphasie 	aphasia
dollar 	one	 dollar
indiscret 	indiscreet
subjectivité 	subjectivity
lingual 	lingual
avant-garde 	avant-guard	 vanguard	 advance guard	 avant-garde	 fringe
philadelphie 	Philadelphia
décomposer 	decompose	 parse
adverbial 	adverbial
axolotl 	axolotl
pensioner 	pension
abigail 	Abigail
dubrovnik 	Dubrovnik
chromosome 	chromosome
saint patron 	patron saint
refuge 	refuge	 shelter	 haven
occidental 	occidental	 Western	 west
sarajevo 	Sarajevo
namibie 	Namibia
cannibalisme 	cannibalism
objective 	objective
haplogroupe 	haplogroup
grouper 	group
rétinoscope 	retinoscope
froc 	frock
saxophoniste 	saxophonist
honduras 	Honduras
alligator 	alligator
discours 	speech	 discourse
bagel 	bagel
zygote 	zygote
koala 	koala
important 	important
kilométrage 	kilometrage
service web 	web service
commander 	call for	 order	 command	 lead	 head
suspendre 	suspend	 shelve	 hang
sari 	sari
abigael 	Abigail
sapphisme 	sapphism
rage 	rage	 rabies
astronome 	astronomer
fixation 	fixation	 tying
multinational 	multinational
hypoténuse 	hypotenuse
ruine 	ruin	 derelict
natrolite 	natrolite
anagramme 	anagram
face 	face	 heads
bolivien 	Bolivian
fade 	fade
gallium 	gallium
permanente 	permanent	 lasting
phosphate 	phosphate
substantivement 	substantively
monégasque 	Monégasque
mithridatisation 	mithridatism
azur 	azure
abaca 	abaka	 abaca	 Manila hemp
dispute 	dispute	 squabble	 quarrel
billion 	trillion	 billion
poison 	poison
post-modernisme 	postmodernism
confucianisme 	Confucianism
tuba 	tuba	 snorkel
multi- 	multi-
parti québécois 	Parti Quebecois
déluge 	deluge
rail 	rail
collatéral 	collateral
hangeul 	Hangeul
neutrino 	neutrino
